cluster	Spannungsebene_Category	Spannungsebene_Category
444	Mittelspannung	7
445	Hochspannung	5
445	Mittelspannung	2
446	Umspannebene Hochspannung/Mittelspannung	5
447	Mittelspannung	5
448	Hochspannung	10
449	Mittelspannung	5
450	Mittelspannung	5
451	Mittelspannung	6
452	Mittelspannung	6
453	Mittelspannung	5
453	Niederspannung	1
454	Mittelspannung	10
455	Mittelspannung	4
456	Mittelspannung	7
457	Hochspannung	5
458	Mittelspannung	4
459	Mittelspannung	4
460	Mittelspannung	7
461	Mittelspannung	9
462	Mittelspannung	8
463	Mittelspannung	4
464	Umspannebene Hochspannung/Mittelspannung	27
464	Hochspannung	7
464	Mittelspannung	7
465	Mittelspannung	10
465	Umspannebene Hochspannung/Mittelspannung	1
466	Hochspannung	5
467	Hochspannung	7
468	Mittelspannung	4
469	Mittelspannung	7
470	Mittelspannung	8
471	Mittelspannung	12
472	Mittelspannung	8
473	Hochspannung	17
473	Mittelspannung	5
474	Hochspannung	16
475	Mittelspannung	5
475	Umspannebene Hochspannung/Mittelspannung	4
476	Umspannebene Hochspannung/Mittelspannung	7
477	Mittelspannung	2
477	Umspannebene Hochspannung/Mittelspannung	2
478	Mittelspannung	4
478	Umspannebene Hochspannung/Mittelspannung	4
479	Mittelspannung	7
480	Mittelspannung	11
481	Mittelspannung	6
482	Mittelspannung	12
483	Mittelspannung	5
484	Mittelspannung	6
485	Hochspannung	13
485	Mittelspannung	1
486	Hochspannung	4
487	Mittelspannung	4
488	Mittelspannung	4
489	Mittelspannung	8
490	Mittelspannung	4
490	Hochspannung	2
491	Mittelspannung	7
492	Mittelspannung	4
493	Hochspannung	9
493	Mittelspannung	3
494	Mittelspannung	13
495	Mittelspannung	17
496	Mittelspannung	6
497	Hochspannung	4
498	Hochspannung	3
498	Mittelspannung	1
499	Mittelspannung	4
500	Hochspannung	6
500	Mittelspannung	2
501	Umspannebene Hochspannung/Mittelspannung	8
502	Mittelspannung	9
503	Mittelspannung	12
504	Mittelspannung	5
505	Hochspannung	12
505	Mittelspannung	1
506	Hochspannung	7
506	Mittelspannung	4
507	Hochspannung	11
507	Mittelspannung	4
508	Mittelspannung	3
508	Niederspannung	1
509	Mittelspannung	5
510	Mittelspannung	13
511	Hochspannung	12
511	Mittelspannung	11
512	Hochspannung	20
512	Mittelspannung	5
513	Mittelspannung	5
514	Mittelspannung	11
515	Mittelspannung	7
515	Umspannebene Hochspannung/Mittelspannung	7
515	Umspannebene Mittelspannung/Niederspannung	1
516	Mittelspannung	5
517	Mittelspannung	3
517	Umspannebene Hochspannung/Mittelspannung	1
518	Umspannebene Hochspannung/Mittelspannung	7
518	Mittelspannung	2
519	Mittelspannung	3
519	Umspannebene Hochspannung/Mittelspannung	3
520	Mittelspannung	5
521	Mittelspannung	4
521	Niederspannung	1
522	Hochspannung	5
522	Mittelspannung	1
523	Hochspannung	11
523	Mittelspannung	6
524	Mittelspannung	5
525	Mittelspannung	5
525	Umspannebene Hochspannung/Mittelspannung	3
526	Umspannebene Hochspannung/Mittelspannung	8
526	Mittelspannung	6
527	Mittelspannung	5
528	Mittelspannung	4
529	Umspannebene Hochspannung/Mittelspannung	10
530	Mittelspannung	14
530	Umspannebene Hochspannung/Mittelspannung	8
531	Mittelspannung	8
532	Hochspannung	24
532	Umspannebene Hochspannung/Mittelspannung	3
533	Umspannebene Hochspannung/Mittelspannung	29
533	Hochspannung	11
534	Mittelspannung	4
534	Umspannebene Hochspannung/Mittelspannung	3
535	Mittelspannung	13
535	Umspannebene Hochspannung/Mittelspannung	1
536	Mittelspannung	6
536	Umspannebene Hochspannung/Mittelspannung	5
537	Hochspannung	26
537	Mittelspannung	4
538	Mittelspannung	13
538	Hochspannung	4
539	Mittelspannung	5
540	Mittelspannung	4
541	Mittelspannung	4
541	Niederspannung	1
542	Hochspannung	7
543	Hochspannung	7
544	Hochspannung	24
545	Mittelspannung	7
546	Hochspannung	9
546	Mittelspannung	4
547	Umspannebene Hochspannung/Mittelspannung	4
547	Mittelspannung	3
548	Mittelspannung	5
549	Hochspannung	14
550	Hochspannung	8
551	Hochspannung	23
551	Mittelspannung	2
552	Hochspannung	19
552	Mittelspannung	5
552	Umspannebene Hochspannung/Mittelspannung	5
553	Hochspannung	63
553	Mittelspannung	13
554	Hochspannung	12
554	Mittelspannung	2
555	Höchstspannung	14
555	Mittelspannung	11
556	Höchstspannung	31
556	Hochspannung	28
556	Mittelspannung	2
557	Mittelspannung	5
558	Umspannebene Hochspannung/Mittelspannung	6
559	Umspannebene Hochspannung/Mittelspannung	9
559	Mittelspannung	2
560	Hochspannung	23
561	Mittelspannung	6
562	Umspannebene Hochspannung/Mittelspannung	7
562	Hochspannung	1
562	Mittelspannung	1
563	Hochspannung	10
563	Mittelspannung	1
564	Mittelspannung	9
564	Hochspannung	3
565	Mittelspannung	6
566	Hochspannung	31
566	Mittelspannung	4
567	Mittelspannung	8
567	Hochspannung	5
568	Hochspannung	34
569	Hochspannung	32
569	Mittelspannung	4
570	Höchstspannung	11
570	Mittelspannung	1
571	Mittelspannung	11
571	Hochspannung	6
571	Höchstspannung	5
572	Hochspannung	11
573	Mittelspannung	4
574	Mittelspannung	9
574	Hochspannung	8
575	Hochspannung	22
576	Mittelspannung	12
577	Hochspannung	44
577	Mittelspannung	1
578	Hochspannung	11
578	Umspannebene Höchstspannung/Hochspannung	1
579	Mittelspannung	8
580	Mittelspannung	18
580	Hochspannung	3
581	Umspannebene Hochspannung/Mittelspannung	5
582	Hochspannung	36
583	Hochspannung	33
584	Mittelspannung	7
585	Umspannebene Hochspannung/Mittelspannung	48
585	Mittelspannung	5
586	Hochspannung	19
586	Mittelspannung	10
587	Mittelspannung	29
587	Hochspannung	15
